Building Code,Bldg/Room,Room Type,Capacity,Adjoining Rooms,Room Key,Outside Key
HUNT,HUNT*202,Single,1,,R7AN13,O7AN15
JEWE,JEWE*200C,Single,1,,R7AZ11,O7AZ1
JMES,JMES*004A,Single in a Quint,1,JMES*004B JMES*004C JMES*004D,,
JMES,JMES*004B,Single in a Quint,1,JMES*004A JMES*004C JMES*004D,,
JMES,JMES*004C,Single in a Quint,1,JMES*004A JMES*004B JMES*004D,,
JMES,JMES*005B,Single in a Quint,1,JMES*005A JMES*005C JMES*005D,,
JMES,JMES*005C,Single in a Quint,1,JMES*005A JMES*005B JMES*005D,,
JMES,JMES*005D,Single in a Quint,1,JMES*005A JMES*005B JMES*005D,,
JMES,JMES*101A,Single in a Quad,1,JMES*101B JMES*101C,,
JMES,JMES*101C,Single in a Quad,1,JMES*101A JMES*101B,,
JMES,JMES*102A,Single in a Quad,1,JMES*102B JMES*102C,,
JMES,JMES*102C,Single in a Quad,1,JMES*102A JMES*102B,,
JMES,JMES*103B,Single in a Quad,1,JMES*103A JMES*103C,,
JMES,JMES*103C,Single in a Quad,1,JMES*103A JMES*103B,,
JMES,JMES*104A,Single in a Quad,1,JMES*104B JMES*104C,,
JMES,JMES*104B,Single in a Quad,1,JMES*104A JMES*104C,,
JMES,JMES*201A,Single in a Quad,1,JMES*201B JMES*201C,,
JMES,JMES*201C,Single in a Quad,1,JMES*201A JMES*201B,,
JMES,JMES*202A,Single in a Quint,1,JMES*202B JMES*202C JMES*202D,,
JMES,JMES*202B,Single in a Quint,1,JMES*202A JMES*202C JMES*202D,,
JMES,JMES*202D,Single in a Quint,1,JMES*202A JMES*202B JMES*202C,,
JMES,JMES*203B,Single in a Quad,1,JMES*203A JMES*203C,,
JMES,JMES*203C,Single in a Quad,1,JMES*203A JMES*203B,,
JMES,JMES*204A,Single in a Quad,1,JMES*204B JMES*204C,,
JMES,JMES*204B,Single in a Quad,1,JMES*204A JMES*204C,,
JMES,JMES*205B,Single in a Quint,1,JMES*205A JMES*205C JMES*205D,,
JMES,JMES*205C,Single in a Quint,1,JMES*205A JMES*205B JMES*205D,,
JMES,JMES*205D,Single in a Quint,1,JMES*205A JMES*205B JMES*205C,,
JMES,JMES*301A,Single in a Quad,1,JMES*301B JMES*301C,,
JMES,JMES*301C,Single in a Quad,1,JMES*301A JMES*301B,,
JMES,JMES*302A,Single in a Quint,1,JMES*302B JMES*302C JMES*302D,,
JMES,JMES*302B,Single in a Quint,1,JMES*302A JMES*302C JMES*302D,,
JMES,JMES*302D,Single in a Quint,1,JMES*302A JMES*302B JMES*302C,,
JMES,JMES*303B,Single in a Quad,1,JMES*303A JMES*303C,,
JMES,JMES*303C,Single in a Quad,1,JMES*303A JMES*303B,,
JMES,JMES*304A,Single in a Quad,1,JMES*304B JMES*304C,,
JMES,JMES*304B,Single in a Quad,1,JMES*304A JMES*304C,,
JMES,JMES*305B,Single in a Quint,1,JMES*305A JMES*305C JMES*305D,,
JMES,JMES*305C,Single in a Quint,1,JMES*305A JMES*305B JMES*305D,,
JMES,JMES*305D,Single in a Quint,1,JMES*305A JMES*305B JMES*305C,,
JMES,JMES*401A,Single in a Quad,1,JMES*401B JMES*401C,,
JMES,JMES*401C,Single in a Quad,1,JMES*401A JMES*401B,,
JMES,JMES*402A,Single in a Quint,1,JMES*402B JMES*402C JMES*402D,,
JMES,JMES*402B,Single in a Quint,1,JMES*402A JMES*402C JMES*402D,,
JMES,JMES*402D,Single in a Quint,1,JMES*402A JMES*402B JMES*402C,,
JMES,JMES*404A,Single in a Quad,1,JMES*404B JMES*404C,,
JMES,JMES*404B,Single in a Quad,1,JMES*404A JMES*404C,,
JMES,JMES*405C,Single in a Quint,1,JMES*405A JMES*405B,,
MUSS,MUSS*211,Single,1,,R7J15,
MUSS,MUSS*214,Single,1,,R7J18,
MUSS,MUSS*215,Single,1,,R7J19,
MUSS,MUSS*227,Single,1,,R7J30,
MUSS,MUSS*228,Single,1,,R7J89,
MUSS,MUSS*311,Single,1,,R7J42,
MUSS,MUSS*314,Single,1,,R7J45,
MUSS,MUSS*315,Single,1,,R7J46,
MUSS,MUSS*327,Single,1,,R7J57,
MUSS,MUSS*328,Single,1,,R7J104,
